failure,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_187_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw
0,0,568,32,0,0,23448,0,32,0,0,41,41,31,0,0,0
0,0,616,13,11,0,41120,0,13,0,0,1113,1113,25,0,0,0
0,240940936,0,1,0,568027740,9342,0,1,0,0,0,83,33,0,0,0
0,5,1955,10,0,0,5553,0,10,0,0,3,0,27,0,0,0
0,0,2046,6,0,0,2479,0,6,0,0,0,0,36,0,0,0
0,0,2040,9,0,0,2069,0,9,0,0,0,0,32,0,0,0
0,0,1837,7,0,0,2885,0,7,0,0,0,0,37,0,0,0
0,84228480,0,5,0,250368129,6127,0,5,0,0,0,19635,25,0,0,0
0,241488920,0,3,0,315250801,7881,0,3,0,0,0,42743,19,0,0,0
0,52654744,0,5,0,2421835,394,0,5,0,0,0,16007,27,0,0,0
0,0,565,31,0,0,25992,0,31,0,0,291,291,28,0,0,406
0,0,444,7,0,0,10973,0,7,0,0,133,133,30,0,0,0
0,0,3841,68,0,0,26761,0,66,0,0,24,43,36,0,0,0
0,0,567,18,0,0,23099,0,17,0,0,21,21,28,0,0,0
0,36567746,0,69,0,1117457201,28576,0,68,0,0,0,0,33,0,0,0
0,0,448,6,0,0,12583,0,6,0,0,174,174,27,0,0,0
0,38011767,0,22,1,242098426,16102,0,22,0,0,0,31655,22,0,0,0
0,0,0,4,0,0,13761,0,4,0,0,55,55,25,0,0,0
0,0,614,32,0,0,41338,0,30,0,0,1025,1025,29,0,0,0
0,0,565,14,0,0,32642,0,13,0,0,15,15,22,0,0,2
0,151700448,0,5,0,127525199,15320,0,5,0,0,2,5908,30,0,0,0
0,115462040,0,3,0,65739908,1523,0,3,0,0,0,4803,31,0,0,0
0,64296672,0,33,0,469891881,21345,0,33,0,0,21,34783,24,0,0,0
0,188280807,0,17,0,5272646483,12288,0,15,0,8024,0,4194,25,0,0,0
0,139813808,0,7,0,172559910,4404,0,7,0,0,0,28139,26,0,0,0
0,209111032,0,6,0,170608881,2721,0,6,0,0,0,4302,21,0,0,0
0,0,443,5,0,0,11936,0,5,0,0,161,161,26,0,0,0
0,0,463,6,0,0,15273,0,6,0,0,260,260,30,0,0,0
0,163453552,0,3,0,137742188,15321,0,3,0,0,1,6038,26,0,0,0
0,141913192,0,17,0,845290294,15828,0,17,0,0,17,112058,29,0,0,0
0,0,0,4,0,0,12609,0,4,0,0,4,4,28,0,0,0
0,62247784,0,19,0,518681438,20866,0,19,0,0,5,31700,29,0,0,0
0,0,5262,9,0,0,5459,0,9,0,6,1,111,15,0,0,0
0,156829064,0,9,0,160502301,2696,0,9,0,0,0,11928,29,0,0,0
0,75750912,0,14,0,282643511,5889,0,2,0,0,0,10132,33,0,0,0
0,32165168,0,5,0,502617449,10061,0,5,0,0,1,17558,19,0,0,0
0,0,560,16,0,0,26895,0,16,0,0,254,254,27,0,0,0
0,125170552,0,2,0,767518394,10277,0,2,0,0,2,258,15,0,0,0
0,26667080,0,2,0,198012792,5528,0,2,0,0,0,31487,25,0,0,0
0,0,591,71,3,0,46706,0,66,0,0,1470,1470,30,0,0,0
0,0,425,35,0,0,24630,0,33,0,0,40,40,26,0,0,115
0,0,0,4,0,0,13977,0,4,0,0,82,82,28,0,0,0
0,153072056,0,15,0,356747510,17953,0,14,0,0,3,32221,20,0,0,0
0,244086704,0,1,0,602656357,10424,0,1,0,0,1,291,24,0,0,0
0,1536160,0,2,0,764805101,10280,0,2,0,0,1,452,17,0,0,0
0,0,450,9,0,0,13664,0,9,0,0,332,332,25,0,0,0
0,218281880,0,5,0,233424093,15964,0,5,0,0,3,5580,26,0,0,0
0,0,560,11,0,0,13662,0,11,0,0,62,62,25,0,0,0
0,182142176,0,1,0,597984890,10424,0,1,1,0,1,296,24,0,0,0
0,0,554,18,0,0,13616,0,18,0,0,287,287,25,0,0,0
0,0,435,5,0,0,12660,0,5,0,0,187,187,34,0,0,0
0,0,0,4,0,0,13474,0,4,0,0,180,180,25,0,0,0
